batches_done,baseline,internal_only,attn_only,mlp_only,port_1695
1,,,,,1.0593
4,1.1168,,1.1168,,
5,,1.09,,1.09,
10,,1.095,,1.095,
11,1.0983,,1.0983,,
14,,1.0837,,,
15,,,,1.0914,
16,1.079,,1.079,,
25,1.0771,1.0811,1.0771,1.0876,1.0604
26,,,,,1.0583
28,,,,1.0844,
36,1.076,1.0795,1.076,1.0827,1.0592
37,1.0715,1.0746,1.0715,1.0779,1.0567
46,1.0708,1.0737,1.0708,1.0768,1.0571
48,1.0683,1.0709,1.0683,1.074,1.0558
55,1.0671,1.0696,1.0671,1.0726,1.0554
69,1.0646,1.0668,1.0646,1.07,1.0537
71,1.0627,,1.0628,1.068,1.0526
77,,1.0669,,,
84,,1.0657,,,
85,,,,1.0668,1.052
86,1.0625,,1.0625,,
89,,,,1.0665,1.0522
91,1.063,,1.063,,
92,,1.0659,,,
98,,,,,1.0522
99,,,,1.0664,
100,,1.0659,,,
101,1.0625,,1.0625,,
105,,,,,1.0518
106,,,,1.066,
108,1.0637,1.0669,1.0636,,
111,1.0633,,1.0633,,
114,,1.0671,,,
116,,,,,1.0524
117,,,,1.0657,
120,,1.0661,,,
122,,,,,1.0525
123,1.0629,,,1.0652,
125,,,1.0633,,
127,,1.0656,,,
130,1.0619,,,1.0642,
131,,,,,1.0525
132,,,1.0632,,
135,,1.0649,,,
137,1.0613,,,,
139,,,,1.0634,
141,,,1.0624,,1.052
144,,1.0652,,,
146,1.0616,,,,
150,,,1.0618,1.0628,1.0517
151,,,,1.0617,
152,,1.0647,1.0614,,1.0516
154,1.061,,,,
159,,,,1.0609,
160,,1.0641,1.061,,1.0514
161,1.0609,,,,
167,,,,1.0608,
168,,1.064,1.0609,,1.0515
169,1.0606,,,,
175,,1.0639,1.0609,,1.0517
176,1.0608,,,,
182,,,,1.06,
185,,,,,1.0518
186,,1.0638,,,
187,,,1.0611,1.0602,
192,1.0609,,,,
193,,,,,1.0512
195,,1.0639,,,
196,,,,1.0598,
197,,,1.0607,,
200,1.0605,,,,
201,,,,,1.051
203,,1.0636,,,
204,,,,1.0595,
206,,,1.0614,,
207,,,,,1.051
208,1.0607,,,,
210,,1.0633,,,
211,,,,1.0587,
213,,,1.0611,,
215,,,,,1.0506
216,1.0602,,,,
219,,1.0627,,,
220,,,,1.0585,
222,,,1.0604,,
223,,,,,1.0505
224,1.0604,,,,
227,,1.0622,,,
228,,,,1.0591,
230,,,1.0599,,
231,,,,1.0591,
232,1.0604,1.0622,,,
234,,,1.0598,,1.0506
240,1.0602,1.062,,1.0589,
242,,,1.0601,,
243,,,,,1.0505
247,,,,,1.0503
248,1.06,,,,
252,,1.0624,,,
253,,,,1.0585,
254,,,1.06,,1.0503
255,1.0597,,,,
261,,1.0625,,1.0586,
262,,,1.0594,,
263,1.0596,,,,1.0503
265,,1.0621,,1.0583,
268,,,1.0595,,
270,1.0597,,,,
271,,,,,1.0504
273,,1.0619,,1.0582,
276,,,1.059,,
278,1.0595,,,,
282,,,1.0591,,
283,,1.0619,,,
284,1.0595,,,,
285,,,,1.0581,
290,,,1.0589,,
291,,1.0616,,,1.0502
292,1.0595,,,,
293,,,,1.0583,
299,,1.0614,,,1.0501
300,,,1.0589,,
301,1.0594,,,,
302,,,,1.0586,
307,,1.0614,,,1.0502
308,,,1.0591,,
310,1.0597,,,1.0589,
315,,1.0614,,,1.0503
317,,,1.0592,,
318,1.0593,,,1.0586,
321,,1.0612,,,
322,,,1.0592,,
323,,,,,1.0503
326,1.0592,,,1.0585,
329,,1.0613,,,
330,,,1.0588,,
331,,,,,1.0507
334,1.0588,,,1.0581,
338,,1.0613,,,
339,,,1.0588,,1.0508
342,1.0582,,,1.0575,
345,,1.0613,1.0588,,
346,,,,,1.0508
350,1.0581,,,1.0574,
353,,1.0611,,,1.0507
354,,,1.0588,,
358,1.0582,,,1.0575,
360,,,,,1.051
361,,1.0606,,,
362,,,1.0588,,
366,1.0582,1.0606,,1.0575,
368,,,,,1.0507
371,,,1.0589,,
374,1.0583,1.0607,,1.0576,
376,,,,,1.0509
379,,,1.0588,,
382,1.0582,,,1.0575,
383,,1.0605,,,
384,,,,,1.0506
389,,,1.0589,,
390,1.0581,,,1.0574,
392,,,,,1.0507
395,,1.0607,1.0591,,
396,,,,1.0577,
398,1.0581,,,,
400,,,,,1.0509
402,,,,1.058,
404,,1.0607,1.0591,,
406,1.058,,,,
407,,,,,1.0511
408,,,,1.0579,
412,,1.0609,1.0593,,
414,1.0584,,,,1.0515
415,,,,1.0581,
420,,,1.0595,1.0583,
421,,1.0612,,,1.0518
422,1.0585,,,,
426,,,1.0595,,
428,,,,1.0584,1.0519
429,,1.0609,,,
430,1.0588,,,,
431,,,1.0597,,
434,,,,,1.052
437,,1.061,1.0598,,
438,1.0588,,,1.0585,
441,,,,,1.0522
444,,,1.06,,
445,,1.061,,,
446,1.059,,,1.0586,
448,,,,,1.0523
450,,,1.06,,
451,,1.0612,,,
452,,,,1.0587,
453,1.0592,,,,
456,,,,,1.0524
458,,,1.0602,,
459,,1.0613,,,
460,,,,1.0588,
464,1.0593,,,,1.0525
466,,,1.0603,,
467,,1.0616,,,
469,,,,1.0589,
472,,,,,1.0527
473,1.0596,,,,
474,,,1.0605,,
477,,1.0617,,1.059,
480,,,,,1.0528
481,1.0598,,,,
483,,1.0619,1.0607,,
488,,,,,1.0529
489,1.06,,,,
491,,1.0617,1.0605,,
496,,,,,1.0532
497,1.0601,,,,
499,,,1.0609,,
500,,1.0618,,,
504,,,,1.0591,1.0533
505,1.0602,,,,
507,,,1.0609,,
509,,1.0619,,,
512,,1.0619,,1.0591,1.0533
516,,,1.0611,,
520,1.0605,,,1.0595,1.0537
523,,1.0621,,,
524,,,1.0613,,
528,1.0608,,,1.0597,1.0539
532,,1.0621,,,
533,,,1.0615,,
536,1.061,,,,1.0541
537,,,,1.0599,
540,,,1.0616,,
541,,1.0623,,,
544,,,,,1.0544
546,1.061,,,1.06,
547,,,1.0618,,
549,,1.0625,,,
553,,,,1.0601,
554,,,1.0619,,
556,,,,,1.0545
557,,1.0627,,,
559,1.0613,,,,
562,,,,1.0604,
565,,1.063,,,1.0548
567,1.0614,,,,
569,,,,1.0604,
573,,1.0633,,,1.0551
575,1.0616,,,,
576,,,,1.0606,
581,,1.0634,,,1.0552
583,1.0619,,,1.0609,
589,,1.0636,,,1.0554
591,,,,1.061,
593,,,,,1.0557
597,,1.0638,,,
598,1.0622,,,,
599,,,,1.0611,
602,,,,,1.0559
605,,1.0639,,,
606,1.0624,,,,
609,,,1.0622,1.0613,
611,,,,,1.0561
612,,1.0641,,,
615,1.0626,,,,
618,,,1.0624,1.0616,
619,,1.0643,,,
620,,,,,1.0563
623,1.0628,,,,
625,,,,1.0618,
626,,1.0646,,,
627,,,1.0626,,
628,,,,,1.0567
631,1.063,,,,
635,,1.0647,,1.062,
637,,,1.0629,,
638,,,,,1.0568
642,,,,1.0622,
643,,,1.0631,,1.057
644,1.0632,,,,
648,,1.0649,,,
649,,,,1.0623,
653,1.0634,,1.0633,,1.0572
656,,1.0651,,1.0625,
660,1.0636,,1.0635,,
662,,,,,1.0574
663,,,,1.0628,
664,,1.0652,,,
669,1.0637,,,,
671,,,1.0637,1.063,1.0576
673,,1.0655,,,
677,1.064,,,1.0632,
678,,,1.064,,1.0579
681,,1.0657,,,
685,1.0642,,,1.0634,
686,,,1.0643,,
687,,,,,1.058
689,,1.066,,,
694,,,1.0645,,
695,1.0644,,,1.0636,1.0582
701,,1.0661,,,
703,,,,,1.0584
704,,,1.0648,1.0639,
706,1.0646,,,,
710,,1.0663,,,
712,,,,,1.0587
714,,,,1.064,
715,1.0649,,,,
717,,,1.065,,
720,,1.0665,,,1.0589
721,,,,1.0643,
723,1.0651,,,,
724,,,1.0652,,
727,,1.0667,,,1.0592
729,,,,1.0645,
731,1.0653,,,,
733,,,1.0654,,
734,,1.067,,,
736,,,,1.0647,1.0594
740,1.0655,,,,
741,,,1.0656,,
742,,1.0671,,,
744,,,,1.0649,
746,,,,,1.0596
748,1.0657,,,,
749,,,1.0659,,
751,,,,1.0651,
752,,1.0674,,,
756,,,,,1.0599
757,,,1.0661,,
758,1.0658,,,1.0652,
761,,1.0676,,,
765,,,1.0663,,1.0602
766,,,,1.0654,
769,1.066,1.0678,,,
773,,,,,1.0604
774,,,,1.0657,
775,,,1.0665,,
778,1.0662,,,,
779,,1.0679,,,
781,1.0663,,,,
